incident_id,title,incident_date,date_precision,country,countries_affected,region,sector,system_type,ai_system_or_tool,incident_or_hazard,harm_types,affected_parties,summary,reported_intent,response,regulatory_or_legal_outcome,magnitude,scale,criticality,irreversibility,evidence_confidence,qualification_basis,source_1_name,source_1_url,source_1_type,source_2_name,source_2_url,source_2_type,aiid_id,aiid_url,last_verified,notes,curator,severity_score,severity_band
AAIO-0001,"Doctored video falsely claims Nigeria will replace the naira with the U.S. dollar",2023-08-29,day,Nigeria,Nigeria,West Africa,Public information,Deepfake / synthetic audio,Unknown deepfake and voice-cloning tools,incident,"Misinformation|Epistemic integrity|Public trust","General public of Nigeria|Bola Tinubu|Arise News","A doctored video styled as an Arise News segment falsely portrayed President Bola Tinubu as announcing that Nigeria would replace the naira with the U.S. dollar. Africa Check reported that Arise News denounced the clip as a deepfake; AIID records the incident as involving synthetic audio and deepfake technology.",Intentional,"Arise News issued a public disclaimer; fact-checkers debunked the claim.",No public regulatory outcome identified in reviewed sources.,1,3,3,1,A,"Indexed by AIID with an identifiable fact-check and direct media denial.",AI Incident Database - Incident 1032,https://incidentdatabase.ai/cite/1032/,Curated incident database,Africa Check,https://africacheck.org/fact-checks/meta-programme-fact-checks/nigerias-president-bola-tinubu-didnt-scrap-naira-and-replace,Independent fact-check,1032,https://incidentdatabase.ai/cite/1032/,2026-09-08,"Earliest remaining known post is dated 29 August 2023 according to AIID.",Blessing Ezeobioha,50,Moderate
AAIO-0002,AI-manipulated hypertension cure video impersonates Nigerian news anchor,2023-11-13,day,Nigeria,Nigeria,West Africa,Health information,Deepfake / synthetic audio,Unknown deepfake and synthetic-audio tools,incident,"Health misinformation|Consumer harm|Journalistic integrity","Hypertension patients|General public of Nigeria|Channels Television|Kayode Okikiolu","A manipulated Facebook video falsely claimed that a Nigerian doctor had created a drug that permanently cures high blood pressure within three days. AIID records the content as an alleged AI-manipulated video mimicking a Channels Television news anchor.",Intentional,Africa Check debunked the claim.,No public regulatory outcome identified in reviewed sources.,2,2,4,2,B,"Indexed by AIID and supported by an independent fact-check; AI manipulation is reported rather than attributed to a named model.",AI Incident Database - Incident 1033,https://incidentdatabase.ai/cite/1033/,Curated incident database,Africa Check report archived by AIID,https://incidentdatabase.ai/cite/1033/,Independent fact-check via AIID record,1033,https://incidentdatabase.ai/cite/1033/,2026-09-08,"AIID dates the incident to 13 November 2023 and notes an earlier Facebook post on 7 November.",Blessing Ezeobioha,62,Moderate
AAIO-0003,Deepfake video falsely depicts Zambian president withdrawing from 2026 election,2023-10-12,day,Zambia,Zambia,Southern Africa,Elections and democracy,Deepfake video,Basic AI/deepfake tools; TikTok distribution,incident,"Election misinformation|Democratic integrity|Public trust","Zambian electorate|Hakainde Hichilema|UPND","A viral manipulated video falsely claimed that President Hakainde Hichilema would not contest Zambia's 2026 election. AIID reports that fact-checkers and digital-forensics experts confirmed manipulation with AI tools and that police investigated the creator.",Intentional,"Fact-checkers debunked the video; Zambia Police reportedly opened an investigation.",Police investigation reported; no final legal outcome identified in reviewed sources.,2,3,4,2,A,"AIID record cites multiple expert/fact-check confirmations and a law-enforcement response.",AI Incident Database - Incident 1022,https://incidentdatabase.ai/cite/1022/,Curated incident database,Africa Check report archived by AIID,https://incidentdatabase.ai/cite/1022/,Independent fact-check via AIID record,1022,https://incidentdatabase.ai/cite/1022/,2026-09-08,"The dataset does not infer who created the content beyond what sources report.",Blessing Ezeobioha,69,Moderate
AAIO-0004,AI-cloned voice makes Kenyan president appear to speak French,2024-02-19,day,Kenya,Kenya,East Africa,Public information,Synthetic audio / voice cloning,Unknown synthetic-audio tool,incident,"Misinformation|Impersonation|Public trust","William Ruto|General public of Kenya","A viral clip used original footage of President William Ruto speaking in English while replacing the audio with an AI-generated French voice. AIID characterises it as voice cloning rather than a full audiovisual deepfake.",Intentional,"Africa Check traced the original footage and debunked the manipulated version.",No public regulatory outcome identified in reviewed sources.,1,2,2,1,B,"AIID record and independent fact-check identify synthetic audio and the original English footage.",AI Incident Database - Incident 1023,https://incidentdatabase.ai/cite/1023/,Curated incident database,Africa Check report archived by AIID,https://incidentdatabase.ai/cite/1023/,Independent fact-check via AIID record,1023,https://incidentdatabase.ai/cite/1023/,2026-09-08,"Low direct harm is documented; the record is retained because it is a verified public-figure impersonation case.",Blessing Ezeobioha,38,Limited
AAIO-0005,171 AI-assisted bot accounts reportedly target Ghana election discourse,2024-02-01,month,Ghana,Ghana,West Africa,Elections and democracy,Generative text / coordinated inauthentic behaviour,ChatGPT; X,incident,"Political disinformation|Coordinated influence|Democratic integrity","Ghanaian electorate|John Mahama|NDC","Researchers reported a network of 171 X accounts using ChatGPT-generated political content to promote NPP candidate Mahamudu Bawumia and attack opposition candidate John Mahama ahead of Ghana's December 2024 election.",Intentional,"NewsGuard shared findings with X and OpenAI; AIID reports limited account action at the time of reporting.",No public regulatory outcome identified in reviewed sources.,2,4,4,2,B,"AIID record is based on NewsGuard research reported by Rest of World; attribution to the political network is reported, not independently inferred by AAIO.",AI Incident Database - Incident 866,https://incidentdatabase.ai/cite/866/,Curated incident database,Rest of World - Phony X accounts are meddling in Ghana's election,https://restofworld.org/2024/ghana-election-ai-bots-x-twitter/,Independent journalism,866,https://incidentdatabase.ai/cite/866/,2026-09-08,"Incident date is month-level because AIID reports network activity beginning by February 2024.",Blessing Ezeobioha,75,High
AAIO-0006,Deepfake depicts Donald Trump calling for Nnamdi Kanu release,2024-11-20,day,Nigeria,Nigeria,West Africa,Politics and public information,Deepfake / synthetic audio,Unknown synthetic-audio and deepfake tools,incident,"Political misinformation|Impersonation|Public trust","General public of Nigeria|Nnamdi Kanu|Donald Trump","A manipulated video falsely portrayed U.S. President-elect Donald Trump calling for the release of Nigerian separatist leader Nnamdi Kanu and threatening sanctions. FactCheckAfrica identified mismatched lip-sync, fabricated quotations and a fictitious date.",Intentional,FactCheckAfrica debunked the video.,No public regulatory outcome identified in reviewed sources.,2,3,4,2,B,"AIID record and named fact-check source identify AI-generated audio/manipulation.",AI Incident Database - Incident 1035,https://incidentdatabase.ai/cite/1035/,Curated incident database,FactCheckAfrica report archived by AIID,https://incidentdatabase.ai/cite/1035/,Independent fact-check via AIID record,1035,https://incidentdatabase.ai/cite/1035/,2026-09-08,"AIID editor note corrects the reporting timeline to November 2024.",Blessing Ezeobioha,69,Moderate
AAIO-0007,Kenyan foreign-affairs official shares deepfake Fareed Zakaria clip,2025-02-20,day,Kenya,"Kenya|Sudan",East Africa,Diplomacy and public information,Deepfake / synthetic audio,Unknown deepfake/voice-cloning tool; X distribution,incident,"Misinformation|Diplomatic credibility|Impersonation","Government of Kenya|Fareed Zakaria|CNN|General public of Kenya","Kenya's Foreign Affairs Principal Secretary Korir Sing'Oei shared a purported AI-generated video depicting CNN journalist Fareed Zakaria praising Kenya's diplomacy in Sudan. He subsequently deleted the video and apologised.",Unknown,"The official deleted the post and apologised after criticism.",No public regulatory outcome identified in reviewed sources.,2,3,4,2,A,"AIID indexes two reports, including local journalism and a reported apology by the official.",AI Incident Database - Incident 944,https://incidentdatabase.ai/cite/944/,Curated incident database,Citizen Digital,https://citizen.digital/article/shock-disbelief-after-foreign-affairs-ps-shares-cnn-deep-fake-video-praising-kenyas-peace-effort-in-sudan-n357975,Local journalism,944,https://incidentdatabase.ai/cite/944/,2026-09-08,"Record avoids inferring who originally created the deepfake.",Blessing Ezeobioha,69,Moderate
AAIO-0008,"AI-generated image falsely claims Nigeria unveiled a 5,000-naira note",2025-01-26,day,Nigeria,Nigeria,West Africa,Finance and public information,AI-generated image,Grok-linked image generation,incident,"Financial misinformation|Public trust","General public of Nigeria|Central Bank of Nigeria","An AI-generated image circulated on Nigerian social media claiming that the Central Bank of Nigeria had unveiled a 5,000-naira note featuring President Bola Tinubu. Africa Check identified a cropped Grok watermark and found no credible announcement.",Intentional,"Africa Check debunked the image; the Central Bank denied the claim according to AIID.",No public regulatory outcome identified in reviewed sources.,1,2,3,1,A,"Visible generator watermark, independent fact-check and central-bank denial reported by AIID.",AI Incident Database - Incident 1049,https://incidentdatabase.ai/cite/1049/,Curated incident database,Africa Check,https://africacheck.org/fact-checks/meta-programme-fact-checks/nigerias-central-bank-has-not-unveiled-new-n5000-note-ignore,Independent fact-check,1049,https://incidentdatabase.ai/cite/1049/,2026-09-08,"The dataset records the incident, not the authenticity of unrelated 5,000-naira policy proposals.",Blessing Ezeobioha,44,Limited
AAIO-0009,AI-generated image misrepresents Tanzania Revenue Authority job interviews,2025-03-31,day,Tanzania,Tanzania,East Africa,Employment and public information,AI-generated image,Unknown image-generation tool,incident,"Misinformation|Employment anxiety|Public trust","Tanzanian job seekers|Tanzania Revenue Authority|General public in Tanzania","An AI-generated image falsely showed hundreds of Tanzanians queuing for only five jobs at the Tanzania Revenue Authority. AIID notes that TRA had advertised more than 1,500 openings and invited over 100,000 applicants for interviews.",Unknown,Africa Check debunked the image.,No public regulatory outcome identified in reviewed sources.,1,2,2,1,B,"AIID record with an independent Africa Check report.",AI Incident Database - Incident 1050,https://incidentdatabase.ai/cite/1050/,Curated incident database,Africa Check report archived by AIID,https://incidentdatabase.ai/cite/1050/,Independent fact-check via AIID record,1050,https://incidentdatabase.ai/cite/1050/,2026-09-08,"The underlying unemployment issue was real; the image and five-job framing were false.",Blessing Ezeobioha,38,Limited
AAIO-0010,AI-generated image depicts Rwanda president in M23-labelled uniform,2025-01-10,day,Rwanda,"Rwanda|Democratic Republic of the Congo",East Africa,Conflict and public information,AI-generated image,Unknown image-generation tool,incident,"Conflict misinformation|Regional security|Public trust","General public of Rwanda|General public of DRC|Paul Kagame|Regional peacebuilding stakeholders","An AI-generated image circulated online showing Rwanda's President Paul Kagame in a military uniform labelled M23 during heightened tensions over the rebel group in eastern DRC. PesaCheck found no credible source for the image and reported high AI-detection scores.",Unknown,PesaCheck debunked the image.,No public regulatory outcome identified in reviewed sources.,2,3,4,2,B,"AIID record and fact-check with technical detection evidence; the project does not treat detector scores alone as conclusive.",AI Incident Database - Incident 1098,https://incidentdatabase.ai/cite/1098/,Curated incident database,PesaCheck report archived by AIID,https://incidentdatabase.ai/cite/1098/,Independent fact-check via AIID record,1098,https://incidentdatabase.ai/cite/1098/,2026-09-08,"Conflict context raises criticality; creator and intent are not established in reviewed sources.",Blessing Ezeobioha,69,Moderate
